"","Site ID","17-alpha-Estradiol","17-beta-Estradiol","3-beta-Coprostanol","Cholesterol","cis-Androsterone","Estrone","Testosterone","trans-Diethylstilbestrol","3,4-Dichloroaniline","3,5-Dichloroaniline","Atrazine","Azoxystrobin","Bifenthrin","Boscalid","Carbaryl","Chlorothalonil","Dacthal (DCPA)","Fenhexamid","Fipronil","Fipronil sulfone","Iprodione","Metalaxyl","Metolachlor","Myclobutanil","Pendimethalin","Prometon","Simazine","Tebuconazole","day","month","year","Discharge (cfs)","E2EqBLYES (ng/L)"
"11","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,8,2015,163,1
"12","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,19,10,2015,123,1
"13","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,11,2015,126,1
"14","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,2015,133,1
"15","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,2016,814,0
"16","Antietam, Sharpsburg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,4,2016,285,1
"17","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,4,2016,235,1
"18","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,4,2016,235,1
"19","Antietam, Sharpsburg",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,5,2016,553,1
"20","Antietam, Sharpsburg",1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,6,2016,278,0
"21","Antietam, Sharpsburg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,6,2016,327,1
"22","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,6,2016,203,0
"23","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,7,2016,207,0
"24","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,8,2016,188,0
"25","Antietam, Sharpsburg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,9,2016,116,0
"26","Antietam, Sharpsburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,10,2016,147,0
"27","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,8,11,2016,101,0
"28","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,2,2017,142,1
"29","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2017,145,0
"30","Antietam, Sharpsburg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,4,2017,262,0
"31","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,24,4,2017,224,0
"32","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,5,2017,200,1
"33","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,15,5,2017,317,0
"34","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,6,2017,208,0
"35","Antietam, Sharpsburg",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,19,6,2017,168,0
